cig;numero_gara;importo_complessivo_gara;n_lotti_componenti;importo_lotto;settore;data_pubblicazione;tipo_scelta_contraente;modalita_realizzazione;denominazione_amministrazione_appaltante;sezione_regionale;descrizione_cpv;aggiudicatario;tipo_aggiudicatario
43001346D4;4264441;143378.82;1.0;143378.82;SETTORI ORDINARI;2007-01-10;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI VILLASIMIUS;SEZIONE REGIONALE SARDEGNA;STRUTTURE EDILI.;CISAF   S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
2678164AD6;2736021;7109161.45;1.0;7109161.45;SETTORI ORDINARI;2007-01-05;PROCEDURA APERTA;CONTRATTO D'APPALTO;AZIENDA OSPDALIERA UNIVERSITARIA POLICLINICO BARI;SEZIONE REGIONALE PUGLIA;ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI.;RAN.PLAST S.R.L.;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
2678164AD6;2736021;7109161.45;1.0;7109161.45;SETTORI ORDINARI;2007-01-05;PROCEDURA APERTA;CONTRATTO D'APPALTO;AZIENDA OSPDALIERA UNIVERSITARIA POLICLINICO BARI;SEZIONE REGIONALE PUGLIA;ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI.;C.N. COSTRUZIONI GENERALI SRL;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
2678164AD6;2736021;7109161.45;1.0;7109161.45;SETTORI ORDINARI;2007-01-05;PROCEDURA APERTA;CONTRATTO D'APPALTO;AZIENDA OSPDALIERA UNIVERSITARIA POLICLINICO BARI;SEZIONE REGIONALE PUGLIA;ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI.;RANA GIOVANNI;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
3734262A7A;3732844;4442052.0;1.0;4442052.07;SETTORI ORDINARI;2007-01-20;PROCEDURA RISTRETTA;CONTRATTO D'APPALTO;AZIENDA SANITARIA LOCALE PESCARA;SEZIONE REGIONALE ABRUZZO;AUSILI PER ANZIANI.;FATER SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2769864414;2822064;1600000.0;1.0;1600000.0;SETTORI SPECIALI;2007-01-30;PROCEDURA APERTA;CONTRATTO D'APPALTO;RETE FERROVIARIA ITALIANA - SOCIETA  PER AZIONI;SEZIONE REGIONALE CENTRALE;OPERE D'ARTE E STRUTTURE.;LI.CA. COSTRUZIONI S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
284593188C;2891828;192564.68;1.0;192564.68;SETTORI ORDINARI;2007-01-24;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE CON SUCCESSIVO CONFRONTO COMPETITIVO;AZ. OSP.-UNIVERSITARIA S. MARIA DELLA MISERICORDIA DI UDINE;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;FOTOCOPIATRICI.;OLIVETTI SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
30756109A7;3106649;500000.0;1.0;500000.0;SETTORI ORDINARI;2007-01-31;PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA;CONTRATTO DAPPALTO;AZIENDA ULSS N. 3 SERENISSIMA;SEZIONE REGIONALE VENETO;SISTEMI DIAGNOSTICI.;PHADIA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
7755061EC6;7304845;69000.0;1.0;69000.0;SETTORI ORDINARI;2007-01-02;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;CENTRALE DI COMMITTENZA MODICA-SCICLI;SEZIONE REGIONALE SICILIA;SERVIZI DI MANUTENZIONE DI IMPIANTI DI ILLUMINAZIONE STRADALE.;ENEL SOLE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
656518413A;6315931;99213.38;1.0;99213.38;SETTORI ORDINARI;2007-01-20;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI GATTATICO;SEZIONE REGIONALE EMILIA ROMAGNA;MANUTENZIONE DI IMPIANTI DI ILLUMINAZIONE PUBBLICA E SEMAFORI.;MEDIALUCE SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
2041739053;2115280;167260.0;1.0;167260.0;SETTORI ORDINARI;2007-01-30;PROCEDURA APERTA;CONTRATTO DAPPALTO;COMUNE DI SPIRANO;SEZIONE REGIONALE LOMBARDIA;SERVIZI DI RISTORAZIONE SCOLASTICA.;S.I.R. SISTEMI ITALIANI RISTORAZIONE SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
45615749F0;4501835;34000.0;1.0;34000.0;SETTORI ORDINARI;2007-01-01;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;FONDO DI ASSISTENZA PER FINANZIERI;SEZIONE REGIONALE CENTRALE;ECOCARDIOGRAFI.;V & V MEDICAL S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3481944F12;3489430;145600.0;1.0;145600.0;SETTORI ORDINARI;2007-01-24;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;AZIENDA SANITARIA LOCALE 1 DI AVEZZANO-SULMONA-L AQUILA;SEZIONE REGIONALE ABRUZZO;PROTESI VASCOLARI.;SOLUZIONI BIOMEDICALI S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
5057032AD0;4960996;117432.63;1.0;117432.63;SETTORI ORDINARI;2007-01-12;AFFIDAMENTO DIRETTO EX ART.5 DELLA LEGGE N.381/91;CONTRATTO D'APPALTO;COMUNE DI NAPOLI;SEZIONE REGIONALE CAMPANIA;LAVORI DI RISTRUTTURAZIONE.;MANCO  SCRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
67452872EC;6466561;159405.36;1.0;159405.36;SETTORI ORDINARI;2007-01-29;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI AMENDOLARA;SEZIONE REGIONALE CALABRIA;LAVORI DI COSTRUZIONE DI CONDOTTE IDRICHE E FOGNARIE.;INGEOS S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3263450C1F;3283009;1680000.0;8.0;250000.0;SETTORI ORDINARI;2007-01-10;PROCEDURA APERTA;CONTRATTO D'APPALTO;ASL TARANTO;SEZIONE REGIONALE PUGLIA;SISTEMA DI DIAGNOSI RADIOLOGICA.;C.T.R. CONSORZIO TRASPORTI RIVIERA SOC. COOP. ARL;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
3263450C1F;3283009;1680000.0;8.0;250000.0;SETTORI ORDINARI;2007-01-10;PROCEDURA APERTA;CONTRATTO D'APPALTO;ASL TARANTO;SEZIONE REGIONALE PUGLIA;SISTEMA DI DIAGNOSI RADIOLOGICA.;GE MEDICAL SYSTEM ITALIA;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
5610419837;5461334;69000.0;1.0;69000.0;SETTORI ORDINARI;2007-01-02;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;COMUNE DI AUGUSTA;SEZIONE REGIONALE SICILIA;SERVIZI DI MANUTENZIONE DI IMPIANTI DI ILLUMINAZIONE STRADALE.;ENEL SOLE SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
6046103A06;5860379;69000.0;1.0;69000.0;SETTORI ORDINARI;2007-01-02;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;COMUNE DI AUGUSTA;SEZIONE REGIONALE SICILIA;SERVIZI DI MANUTENZIONE DI IMPIANTI DI ILLUMINAZIONE STRADALE.;ENEL SOLE SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3412195862;3424231;133185.51;7.0;58687.2;SETTORI ORDINARI;2007-02-23;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;AZIENDA SANITARIA PROVINCIALE DI RAGUSA;SEZIONE REGIONALE SICILIA;SISTEMI DIAGNOSTICI.;BIOMERIEUX ITALIA ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0006665C1E;10750;100550.0;1.0;100550.0;SETTORI ORDINARI;2007-02-21;PROCEDURA NEGOZIATA;CONTRATTO D'APPALTO;COMUNE DI SAN VENDEMIANO;SEZIONE REGIONALE VENETO;SERVIZI AGRICOLI, FORESTALI E ORTICOLI.;CASONATO GIANNANTONIO & F.LLI S.A.S.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0063962F18;94335;100000.0;2.0;70000.0;SETTORI ORDINARI;2007-02-12;PROCEDURA NEGOZIATA;CONTRATTO DAPPALTO;COMUNE DI MONFALCONE;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;BENI MANUFATTI, MOBILI, ARTIGIANATO, PRODOTTI PER USO SPECIALE E MATERIALE CORRENTE AFFINE.;LUX VETTORI A. S.A.S.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0006901EDE;10929;90000.0;1.0;90000.0;SETTORI ORDINARI;2007-02-22;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO DAPPALTO;COMUNE DI PADOVA;SEZIONE REGIONALE VENETO;INDUMENTI ED ACCESSORI.;VANCINI S.C.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
6096441E40;5905662;300000.0;1.0;300000.0;SETTORI ORDINARI;2007-02-07;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;ACI INFORMATICA SOCIETA  PER AZIONI IN BREVE ACI INFORMATICA S.P.A.;SEZIONE REGIONALE CENTRALE;RETE DI TELECOMUNICAZIONI.;WIND TELECOMUNICAZIONI S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
6096441E40;5905662;300000.0;1.0;300000.0;SETTORI ORDINARI;2007-02-07;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;ACI INFORMATICA SOCIETA  PER AZIONI IN BREVE ACI INFORMATICA S.P.A.;SEZIONE REGIONALE CENTRALE;RETE DI TELECOMUNICAZIONI.;FASTWEB S.P.A.;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
6096441E40;5905662;300000.0;1.0;300000.0;SETTORI ORDINARI;2007-02-07;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;ACI INFORMATICA SOCIETA  PER AZIONI IN BREVE ACI INFORMATICA S.P.A.;SEZIONE REGIONALE CENTRALE;RETE DI TELECOMUNICAZIONI.;TELECOM ITALIA S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
6096441E40;5905662;300000.0;1.0;300000.0;SETTORI ORDINARI;2007-02-07;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;ACI INFORMATICA SOCIETA  PER AZIONI IN BREVE ACI INFORMATICA S.P.A.;SEZIONE REGIONALE CENTRALE;RETE DI TELECOMUNICAZIONI.;HP ENTERPRISE SERVICES ITALIA S.R.L.     (EX EDS ELECTRONIC DATA SYSTEMS ITALIA S.P.A.);ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
6096441E40;5905662;300000.0;1.0;300000.0;SETTORI ORDINARI;2007-02-07;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;ACI INFORMATICA SOCIETA  PER AZIONI IN BREVE ACI INFORMATICA S.P.A.;SEZIONE REGIONALE CENTRALE;RETE DI TELECOMUNICAZIONI.;BT ITALIA SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
00123829F0;18566;225118.5;1.0;225118.5;SETTORI ORDINARI;2007-02-10;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI TAGLIO DI PO;SEZIONE REGIONALE VENETO;LAVORI DI COSTRUZIONE DI STRADE.;TROMBIN SCAVI DI TROMBIN PAOLO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0002309172;3163;91667.0;1.0;91667.0;SETTORI ORDINARI;2007-02-06;PROCEDURA NEGOZIATA;CONTRATTO DAPPALTO;AZIENDA ULSS N. 3 SERENISSIMA;SEZIONE REGIONALE VENETO;APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.;BENEFIS;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
00035777D3;5761;24000.0;1.0;24000.0;SETTORI ORDINARI;2007-02-15;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO DAPPALTO;AUTORITA  PORTUALE DI TARANTO;SEZIONE REGIONALE CENTRALE;SERVIZI INFORMATICI ED AFFINI.;SINCON S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
341220724B;3424231;133185.51;7.0;54430.38;SETTORI ORDINARI;2007-02-23;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;AZIENDA SANITARIA PROVINCIALE DI RAGUSA;SEZIONE REGIONALE SICILIA;SISTEMI DIAGNOSTICI.;ABBOTT SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3140646F0D;3166886;1800000.0;3.0;600000.0;SETTORI SPECIALI;2007-02-14;PROCEDURA SELETTIVA EX ART. 238 C.7, D.LGS. 163/2006;CONTRATTO D'APPALTO;ARETI S.P.A.;SEZIONE REGIONALE CENTRALE;LAVORI GENERALI DI COSTRUZIONE DI LINEE ELETTRICHE.;SITEM ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0020172674;30245;99675.51;1.0;99675.51;SETTORI ORDINARI;2007-02-20;PROCEDURA NEGOZIATA;CONTRATTO D'APPALTO;COMUNE DI AULLA;SEZIONE REGIONALE TOSCANA;LAVORI DI COSTRUZIONE.;BERTOLOTTI GIULIANO ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3968321A13;3951834;40849.672;1.0;40849.67;SETTORI ORDINARI;2007-02-09;AFFIDAMENTO DIRETTO;ACQUISIZIONE IN ECONOMIA;ENTE PARCO DELLE MADONIE;SEZIONE REGIONALE SICILIA;SERVIZI DI CONSULENZA NEL CAMPO DELLO SVILUPPO.;MARTORANA GIUSEPPE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2926417BB1;2967288;509700.0;3.0;47700.0;SETTORI ORDINARI;2007-02-16;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;AZIENDA UNITA  SANITARIA LOCALE N. 3;SEZIONE REGIONALE SARDEGNA;APPARECCHI PER EMODIALISI.;BELLCO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
00037495C4;5972;72324.15;1.0;72324.15;SETTORI ORDINARI;2007-02-12;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;COMUNE DI BAGNI DI LUCCA;SEZIONE REGIONALE TOSCANA;LAVORI DI COSTRUZIONE.;BRENNERO COSTRUZIONI S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0005885872;9520;155246.5;1.0;155246.5;SETTORI ORDINARI;2007-02-20;PROCEDURA NEGOZIATA;CONTRATTO D'APPALTO;COMUNITA MONTANA ASSOCIAZIONE DEI COMUNI TRASIMENO MEDIO TEVERE;SEZIONE REGIONALE UMBRIA;ELETTRICITÀ, GAS, ENERGIA E COMBUSTIBILI NUCLEARI, VAPORE, ACQUA CALDA ED ALTRE SORGENTI DI ENERGIA.;TAMAGNINI IMPIANTI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
000452347E;7245;118493.0;1.0;118493.0;SETTORI ORDINARI;2007-02-09;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI TURI;SEZIONE REGIONALE PUGLIA;LAVORI DI COSTRUZIONE.;TECNO GLOBAL SERVICE SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
4737799B68;4666056;85221.2;1.0;85221.2;SETTORI ORDINARI;2007-02-21;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;SOGEI SPA;SEZIONE REGIONALE CENTRALE;APPARECCHIATURE DI TRASMISSIONE DATI.;ALTIN S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
6899459DAB;6599213;324500.0;1.0;324500.0;SETTORI ORDINARI;2007-02-06;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;ACI INFORMATICA SOCIETA  PER AZIONI IN BREVE ACI INFORMATICA S.P.A.;SEZIONE REGIONALE CENTRALE;RETE DI TELECOMUNICAZIONI.;TELECOM ITALIA S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
6899459DAB;6599213;324500.0;1.0;324500.0;SETTORI ORDINARI;2007-02-06;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;ACI INFORMATICA SOCIETA  PER AZIONI IN BREVE ACI INFORMATICA S.P.A.;SEZIONE REGIONALE CENTRALE;RETE DI TELECOMUNICAZIONI.;HP ENTERPRISE SERVICES ITALIA S.R.L.     (EX EDS ELECTRONIC DATA SYSTEMS ITALIA S.P.A.);ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
6899459DAB;6599213;324500.0;1.0;324500.0;SETTORI ORDINARI;2007-02-06;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;ACI INFORMATICA SOCIETA  PER AZIONI IN BREVE ACI INFORMATICA S.P.A.;SEZIONE REGIONALE CENTRALE;RETE DI TELECOMUNICAZIONI.;BT ITALIA SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
6899459DAB;6599213;324500.0;1.0;324500.0;SETTORI ORDINARI;2007-02-06;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;ACI INFORMATICA SOCIETA  PER AZIONI IN BREVE ACI INFORMATICA S.P.A.;SEZIONE REGIONALE CENTRALE;RETE DI TELECOMUNICAZIONI.;FASTWEB S.P.A.;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
6899459DAB;6599213;324500.0;1.0;324500.0;SETTORI ORDINARI;2007-02-06;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;ACI INFORMATICA SOCIETA  PER AZIONI IN BREVE ACI INFORMATICA S.P.A.;SEZIONE REGIONALE CENTRALE;RETE DI TELECOMUNICAZIONI.;WIND TELECOMUNICAZIONI S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3413231F4F;3425073;495000.0;1.0;495000.0;SETTORI ORDINARI;2007-02-20;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI CROTONE;SEZIONE REGIONALE CALABRIA;LAVORI SPECIALI DI COSTRUZIONE, ESCLUSI I LAVORI DI COPERTURA.;PANTUSA FERDINANDO;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
3413231F4F;3425073;495000.0;1.0;495000.0;SETTORI ORDINARI;2007-02-20;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI CROTONE;SEZIONE REGIONALE CALABRIA;LAVORI SPECIALI DI COSTRUZIONE, ESCLUSI I LAVORI DI COPERTURA.;CO.GE.MI S.R.L.;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0003374050;5405;100000.0;1.0;100000.0;SETTORI ORDINARI;2007-02-12;PROCEDURA NEGOZIATA;CONTRATTO D'APPALTO;COMUNE DI ANDRIA;SEZIONE REGIONALE PUGLIA;LAVORI DI COSTRUZIONE.;CASSETTA VINCENZO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0003375123;5407;100000.0;1.0;100000.0;SETTORI ORDINARI;2007-02-12;PROCEDURA NEGOZIATA;CONTRATTO D'APPALTO;COMUNE DI ANDRIA;SEZIONE REGIONALE PUGLIA;LAVORI DI COSTRUZIONE.;S.I.P.A. S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0146463117;209297;30000.0;1.0;30000.0;SETTORI ORDINARI;2007-02-26;PROCEDURA NEGOZIATA;CONTRATTO DAPPALTO;AZIENDA ULSS N. 3 SERENISSIMA;SEZIONE REGIONALE VENETO;APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.;MOVI S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3109058BD0;3137976;815000.0;1.0;815000.0;SETTORI ORDINARI;2007-02-21;PROCEDURA APERTA;CONTRATTO D'APPALTO;AMMINISTRAZIONE PROVINCIALE SALERNO;SEZIONE REGIONALE CAMPANIA;RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI ALLE STRADE ED ALTRE ATTREZZATURE.;RU.FON COSTRUZIONI S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
